word,score
jaunt,4
jazzy,4
jelly,4
jerky,4
jetty,3
jewel,3
jiffy,5
joint,3
joist,5
joker,4
jolly,4
joust,4
judge,5
juice,4
juicy,4
jumbo,4
jumpy,4
junta,4
junto,3
juror,4
kappa,4
karma,3
kayak,3
kebab,3
khaki,4
kinky,4
kiosk,4
kitty,4
knack,4
knave,4
knead,4
kneed,3
kneel,4
knelt,3
knife,4
knock,3
knoll,4
known,4
koala,4
krill,4
label,3
labor,4
laden,3
ladle,4
lager,3
lance,3
lanky,3
lapel,4
lapse,2
large,3
larva,4
lasso,3
latch,3
later,2
lathe,2
latte,3
laugh,3
layer,3
leach,4
leafy,4
leaky,4
leant,3
leapt,3
learn,3
lease,3
leash,3
least,2
leave,4
ledge,3
leech,3
leery,3
lefty,3
legal,3
leggy,4
lemon,3
lemur,4
leper,3
level,3
lever,3
libel,3
liege,3
light,3
liken,4
lilac,3
limbo,4
limit,3
linen,4
liner,4
lingo,4
lipid,3
lithe,3
liver,3
livid,4
llama,4
loamy,3
loath,3
lobby,4
local,4
locus,3
lodge,3
lofty,3
logic,3
login,4
loopy,4
loose,3
lorry,3
loser,2
louse,3
lousy,3
lover,3
lower,3
lowly,4
loyal,4
lucid,3
lucky,3
lumen,4
lumpy,3
lunar,3
lunch,4
lunge,4
lupus,3
lurch,3
lurid,3
lusty,2
lying,4
lymph,4
lynch,4
lyric,3
macaw,3
macho,4
macro,3
madam,4
madly,3
mafia,4
magic,4
magma,4
maize,3
major,4
maker,3
mambo,3
mamma,4
mammy,5
manga,3
mange,4
mango,4
mangy,4
mania,4
manic,3
manly,4
manor,3
maple,3
march,3
marry,4
marsh,4
mason,3
masse,3
match,4
matey,3
mauve,3
maxim,4
maybe,3
mayor,3
mealy,4
meant,3
meaty,4
mecca,3
medal,3
media,4
medic,4
melee,3
melon,3
mercy,4
merge,4
merit,3
merry,4
metal,3
meter,3
metro,3
micro,3
midge,4
midst,3
might,4
milky,3
mimic,4
mince,4
miner,4
minim,4
minor,4
minty,3
minus,3
mirth,5
miser,3
missy,3
mocha,4
modal,4
model,4
modem,4
mogul,3
moist,3
molar,3
moldy,4
money,4
month,3
moody,5
moose,4
moral,3
moron,4
morph,4
mossy,3
motel,3
motif,4
motor,3
motto,4
moult,3
mound,4
mount,4
mourn,3
mouse,4
mouth,4
mover,4
movie,4
mower,4
mucky,4
mucus,3
muddy,4
mulch,3
mummy,4
munch,4
mural,3
murky,3
mushy,3
music,3
musky,3
musty,3
myrrh,3
nadir,3
naive,3
nanny,4
nasal,3
nasty,3
natal,3
naval,3
navel,3
needy,3
neigh,4
nerdy,3
nerve,4
never,4
newer,3
newly,4
nicer,4
niche,4
niece,4
night,3
ninja,4
ninny,4
ninth,3
noble,4
nobly,4
noise,3
noisy,4
nomad,4
noose,3
north,2
nosey,3
notch,3
novel,4
nudge,3
nurse,3
nutty,3
nylon,3
nymph,3
oaken,3
obese,4
occur,3
ocean,4
octal,3
octet,3
odder,3
oddly,3
offal,4
offer,3
often,3
olden,4
older,4
olive,4
ombre,4
omega,4
onion,4
onset,3
opera,4
opine,3
opium,4
optic,4
orbit,3
order,4
organ,3
other,3
otter,3
ought,3
ounce,3
outdo,3
outer,3
outgo,4
ovary,4
ovate,4
overt,4
ovine,4
ovoid,3
owing,4
owner,3
oxide,3
ozone,3
paddy,4
pagan,4
paint,4
paler,3
palsy,2
panel,3
panic,4
pansy,3
papal,4
paper,4
parer,3
parka,4
parry,4
parse,3
party,3
pasta,3
paste,3
pasty,3
patch,4
patio,3
patsy,4
patty,4
pause,3
payee,3
payer,3
peace,4
peach,4
pearl,3
pecan,4
pedal,4
penal,3
pence,4
penne,3
penny,4
perch,4
peril,3
perky,5
pesky,4
pesto,3
petal,3
petty,4
phase,4
phone,4
phony,4
photo,3
piano,3
picky,4
piece,4
piety,3
piggy,4
pilot,2
pinch,4
piney,4
pinky,4
pinto,4
piper,4
pique,4
pitch,4
pithy,3
pivot,4
pixel,4
pixie,4
pizza,4
place,5
plaid,4
plain,4
plait,3
plane,3
plank,4
plant,3
plate,3
plaza,4
plead,4
pleat,3
plied,4
plier,4
pluck,3
plumb,4
plume,5
plump,5
plunk,4
plush,3
poesy,3
point,4
poise,3
poker,5
polar,4
polka,3
polyp,4
pooch,4
poppy,4
porch,3
poser,3
posit,3
posse,4
pouch,3
pound,4
pouty,4
power,5
prank,5
prawn,4
preen,5
press,5
price,4
prick,4
pride,3
pried,4
prime,4
primo,4
print,3
prior,4
prism,3
privy,4
prize,4
probe,3
prone,4
prong,4
proof,4
prose,3
proud,3
prove,4
prowl,4
proxy,4
prude,4
prune,4
psalm,3
pubic,4
pudgy,4
puffy,4
pulpy,4
pulse,2
punch,4
pupal,4
pupil,4
puppy,4
puree,4
purer,5
purge,4
purse,4
pushy,4
putty,4
pygmy,4
quack,4
quail,4
quake,4
qualm,4
quark,4
quart,3
quash,4
quasi,4
queen,4
queer,4
quell,4
query,4
quest,3
queue,4
quick,4
quiet,4
quill,4
quilt,4
quirk,4
quite,3
quota,3
quote,4
quoth,3
rabbi,4
rabid,3
racer,4
radar,4
radii,4
radio,4
rainy,3
raise,3
rajah,4
rally,2
ralph,3
ramen,4
ranch,3
randy,3
range,3
rapid,4
rarer,4
raspy,3
ratio,3
ratty,3
raven,4
rayon,3
razor,4
reach,3
react,3
ready,3
realm,3
rearm,4
rebar,3
rebel,3
rebus,3
rebut,3
recap,3
recur,4
recut,3
reedy,3
