word,score
hymen,4.0
hyper,4.0
icily,4.0
icing,4.0
ideal,4.0
idiom,4.0
idiot,3.0
idler,3.0
idyll,4.0
igloo,3.0
iliac,3.0
image,4.0
imbue,4.0
impel,4.0
imply,4.0
inane,4.0
incur,3.0
index,3.0
inept,3.0
inert,3.0
infer,4.0
ingot,3.0
inlay,3.0
inlet,3.0
inner,4.0
input,3.0
inter,4.0
intro,3.0
ionic,3.0
irate,4.0
irony,4.0
islet,2.0
issue,4.0
pithy,3.0
itchy,4.0
ivory,3.0
jaunt,4.0
mammy,4.0
jazzy,5.0
jerky,4.0
jetty,3.0
jewel,3.0
point,3.0
joint,4.0
joist,4.0
jolly,4.0
joust,4.0
judge,4.0
juice,4.0
juicy,4.0
jumbo,4.0
jumpy,5.0
junto,3.0
juror,4.0
kappa,4.0
karma,3.0
kayak,3.0
kebab,3.0
khaki,4.0
kinky,4.0
kiosk,4.0
kitty,4.0
knack,4.0
knave,4.0
knead,4.0
unfed,3.0
kneed,4.0
kneel,4.0
knelt,3.0
knife,4.0
knock,3.0
knoll,4.0
known,4.0
modal,3.0
koala,4.0
krill,4.0
lapel,3.0
label,4.0
laden,3.0
ladle,4.0
lager,4.0
lance,3.0
lanky,3.0
lapse,2.0
large,3.0
larva,4.0
lasso,3.0
latch,3.0
later,2.0
latte,2.0
lathe,3.0
laugh,3.0
layer,3.0
leach,4.0
leafy,4.0
leaky,4.0
leant,3.0
leapt,3.0
learn,3.0
lease,3.0
leash,3.0
least,2.0
leave,4.0
ledge,3.0
leech,4.0
leery,4.0
lefty,3.0
legal,3.0
leggy,4.0
lemon,3.0
lemur,4.0
leper,3.0
level,3.0
lever,3.0
libel,3.0
liege,3.0
light,3.0
linen,4.0
liken,5.0
lilac,3.0
limbo,4.0
limit,3.0
liner,4.0
lingo,4.0
lipid,4.0
lithe,3.0
liver,3.0
llama,4.0
loamy,4.0
loath,3.0
wooly,3.0
lobby,4.0
local,4.0
locus,3.0
lodge,3.0
lofty,3.0
logic,3.0
login,4.0
loopy,4.0
loose,3.0
lorry,3.0
loser,2.0
louse,3.0
lousy,3.0
lover,3.0
older,3.0
lower,4.0
lowly,4.0
loyal,4.0
lucid,3.0
lucky,3.0
lumen,4.0
lumpy,3.0
lunar,3.0
lunch,4.0
lunge,3.0
lupus,3.0
lurch,3.0
lurid,3.0
lusty,2.0
lying,4.0
lymph,4.0
lyric,3.0
magic,3.0
macaw,4.0
macro,3.0
madam,4.0
madly,3.0
mafia,4.0
magma,4.0
maize,3.0
major,4.0
maker,3.0
mambo,3.0
mamma,4.0
manga,3.0
mange,3.0
mango,4.0
mangy,4.0
mania,4.0
panic,3.0
manic,4.0
manly,4.0
manor,3.0
maple,3.0
march,3.0
marry,4.0
marsh,4.0
mason,3.0
masse,3.0
match,4.0
matey,3.0
mauve,3.0
maxim,4.0
maybe,3.0
mayor,3.0
mealy,4.0
meant,3.0
meaty,4.0
mecca,3.0
medal,4.0
melee,3.0
melon,3.0
mercy,5.0
merge,4.0
merit,3.0
metal,3.0
metro,4.0
micro,3.0
midge,4.0
midst,3.0
tight,4.0
might,5.0
milky,3.0
mimic,4.0
wince,4.0
mince,5.0
minim,4.0
minor,4.0
unity,3.0
minty,4.0
minus,3.0
mirth,4.0
miser,3.0
missy,3.0
mocha,4.0
mogul,3.0
moist,4.0
polar,3.0
molar,4.0
moldy,4.0
money,4.0
month,3.0
moody,5.0
moral,3.0
morph,4.0
mossy,3.0
motel,3.0
topic,3.0
motif,4.0
motor,3.0
moult,3.0
mound,4.0
mourn,3.0
mouse,4.0
mouth,4.0
mover,4.0
movie,4.0
mower,4.0
mucky,4.0
mucus,3.0
muddy,4.0
mulch,3.0
mummy,5.0
munch,4.0
rural,3.0
mural,4.0
rugby,3.0
murky,4.0
mushy,3.0
music,3.0
musky,3.0
musty,3.0
myrrh,3.0
nadir,3.0
naive,3.0
nasal,3.0
nasty,3.0
naval,3.0
navel,3.0
needy,3.0
neigh,4.0
nerdy,3.0
never,4.0
newer,3.0
uncle,3.0
newly,4.0
nicer,4.0
niche,4.0
niece,4.0
night,3.0
ninja,4.0
ninny,4.0
ninth,3.0
noble,3.0
nobly,4.0
noise,3.0
noisy,4.0
nomad,4.0
noose,3.0
nosey,3.0
notch,3.0
novel,4.0
undue,3.0
nudge,4.0
nurse,3.0
nutty,3.0
nylon,3.0
oaken,3.0
obese,4.0
occur,3.0
ocean,4.0
octal,3.0
octet,3.0
order,3.0
odder,4.0
oddly,3.0
offal,4.0
offer,3.0
often,3.0
olden,4.0
olive,3.0
ombre,4.0
omega,4.0
onion,4.0
onset,3.0
opera,4.0
opine,3.0
opium,4.0
outgo,3.0
optic,4.0
orbit,3.0
organ,3.0
other,3.0
otter,3.0
ought,3.0
ounce,3.0
outdo,4.0
outer,3.0
ovary,4.0
overt,3.0
ovine,4.0
ovoid,3.0
owing,4.0
owner,3.0
oxide,3.0
ozone,3.0
paddy,4.0
pagan,4.0
paint,4.0
palsy,2.0
panel,3.0
pansy,3.0
paper,4.0
parer,3.0
parka,4.0
parry,4.0
parse,3.0
warty,3.0
party,4.0
pasta,3.0
talpa,3.0
paste,4.0
patch,4.0
tango,3.0
patio,4.0
patsy,3.0
tatty,4.0
patty,5.0
pause,3.0
payee,3.0
payer,3.0
peace,4.0
peach,4.0
pearl,3.0
pecan,4.0
penal,3.0
pence,4.0
penne,3.0
penny,4.0
perch,4.0
peril,4.0
perky,5.0
pesto,3.0
petal,3.0
petty,4.0
phase,4.0
phone,4.0
phony,4.0
photo,3.0
piano,3.0
picky,4.0
piece,4.0
piety,3.0
piggy,4.0
pilot,2.0
pinch,4.0
piney,4.0
pinky,4.0
pinto,4.0
piper,4.0
pique,4.0
pitch,4.0
pivot,4.0
pixel,4.0
pixie,5.0
pizza,4.0
place,5.0
plaid,4.0
plain,4.0
plait,3.0
plane,3.0
plank,4.0
plant,3.0
plate,3.0
plaza,4.0
plead,4.0
pleat,3.0
plied,4.0
plier,4.0
pluck,3.0
plump,4.0
plumb,5.0
plume,4.0
plunk,4.0
plush,3.0
poesy,3.0
poker,5.0
polka,3.0
polyp,4.0
pooch,4.0
poppy,4.0
rocky,3.0
porch,4.0
poser,3.0
posit,3.0
posse,4.0
pouch,3.0
pound,4.0
pouty,4.0
power,4.0
prank,4.0
press,4.0
price,4.0
prick,4.0
prime,4.0
primo,4.0
print,3.0
prior,4.0
prism,3.0
privy,4.0
prize,4.0
prong,4.0
proof,4.0
prose,3.0
prove,4.0
proxy,4.0
prude,4.0
prune,4.0
psalm,3.0
pudgy,4.0
puffy,4.0
pulpy,4.0
welsh,2.0
pulse,3.0
punch,4.0
pupal,4.0
pupil,4.0
puppy,5.0
purer,4.0
puree,5.0
purge,4.0
pushy,4.0
putty,4.0
pygmy,4.0
quack,4.0
quail,4.0
quake,4.0
qualm,4.0
quark,4.0
quart,3.0
quash,4.0
quasi,4.0
queen,4.0
queer,4.0
quell,4.0
query,4.0
quest,3.0
quick,4.0
quill,4.0
quirk,4.0
unite,3.0
quite,4.0
quota,3.0
quote,4.0
quoth,3.0
rapid,3.0
rabbi,4.0
rabid,4.0
racer,4.0
radar,4.0
radii,4.0
radio,4.0
rainy,3.0
raise,3.0
rajah,4.0
ralph,3.0
ramen,4.0
ranch,3.0
randy,3.0
range,3.0
rarer,4.0
raspy,3.0
ratio,3.0
ratty,3.0
raven,4.0
rayon,3.0
razor,4.0
reach,3.0
ready,3.0
realm,3.0
yearn,3.0
rearm,4.0
rehab,3.0
rebar,4.0
rebel,3.0
rebus,3.0
rebut,3.0
repay,3.0
recap,4.0
recur,4.0
recut,4.0
weird,3.0
reedy,4.0
river,3.0
refer,4.0
refit,3.0
regal,3.0
rerun,3.0
reign,4.0
relax,3.0
relic,3.0
remit,4.0
renal,3.0
renew,3.0
repel,3.0
reply,4.0
reset,3.0
resin,3.0
retch,4.0
retry,4.0
reuse,3.0
revel,3.0
revue,4.0
rhino,4.0
rhyme,4.0
rider,3.0
ridge,3.0
right,3.0
rigor,4.0
rinse,3.0
ripen,3.0
riper,4.0
risen,3.0
riser,3.0
risky,4.0
rival,4.0
rivet,3.0
roach,4.0
roast,3.0
robin,4.0
rodeo,3.0
roger,4.0
rogue,4.0
roomy,4.0
roost,3.0
rotor,4.0
rouge,4.0
rough,3.0
round,3.0
rouse,3.0
rowdy,4.0
rower,3.0
royal,3.0
ruddy,3.0
ruder,4.0
ruler,3.0
umbra,3.0
rumba,4.0
rumor,4.0
rupee,4.0
rusty,3.0
sadly,2.0
safer,2.0
saint,2.0
sados,2.0
salad,3.0
sally,3.0
salon,3.0
salsa,3.0
salty,2.0
salve,2.0
salvo,3.0
pudsy,2.0
sandy,3.0
saner,3.0
sappy,3.0
sassy,3.0
satin,2.0
satyr,3.0
sauce,2.0
saucy,3.0
sauna,3.0
saute,2.0
savor,3.0
savvy,3.0
savoy,4.0
curdy,3.0
scald,4.0
scale,2.0
scalp,4.0
scaly,4.0
scamp,3.0
rheum,2.0
scant,3.0
pharm,2.0
scare,3.0
scary,3.0
scarf,4.0
prink,2.0
shone,3.0
scene,4.0
swept,2.0
scent,3.0
unrip,2.0
swing,3.0
scion,4.0
smock,3.0
scoff,4.0
plink,2.0
shyly,3.0
scold,4.0
scone,4.0
swoop,3.0
scoop,4.0
scope,3.0
merch,3.0
score,4.0
nohow,3.0
scorn,4.0
scour,3.0
scout,3.0
scowl,4.0
scram,3.0
scrap,3.0
hewer,2.0
spree,3.0
scree,4.0
screw,3.0
scrub,3.0
scrum,4.0
scuba,3.0
sneak,3.0
sedan,4.0
shove,3.0
seedy,4.0
segue,4.0
seize,3.0
semen,3.0
sense,3.0
speak,3.0
sepia,4.0
serif,3.0
serum,4.0
serve,4.0
setup,3.0
seven,4.0
sever,3.0
sewer,3.0
snack,3.0
shack,4.0
khuds,3.0
shade,4.0
shaky,3.0
shady,4.0
shaft,3.0
shake,4.0
shale,3.0
shall,3.0
shalt,2.0
shame,3.0
shank,4.0
shape,3.0
shard,3.0
share,3.0
shark,4.0
sharp,3.0
shave,4.0
shoal,3.0
shawl,4.0
shear,3.0
sheep,3.0
sheen,4.0
sheer,3.0
sheet,2.0
sheik,3.0
chimo,2.0
shelf,3.0
shell,4.0
shied,3.0
shoot,3.0
shift,4.0
swine,3.0
shine,4.0
shiny,4.0
shire,3.0
shirk,3.0
shirt,3.0
shock,4.0
shook,4.0
shore,4.0
shorn,4.0
short,4.0
shout,3.0
swoon,3.0
shown,4.0
showy,4.0
shrew,3.0
shrub,4.0
shrug,4.0
shuck,3.0
shunt,3.0
shush,4.0
siege,3.0
sieve,4.0
sight,3.0
sigma,3.0
silly,2.0
silky,3.0
since,3.0
sinew,3.0
singe,4.0
siren,3.0
swish,3.0
sissy,4.0
pinko,2.0
